SampleID	Segregant pools	Growth Medium	Competition Day	Replicate	Accession no
AB_BSA_249	pool1	Blood(in vivo)	0	1	SRR12302884
AB_BSA_248	pool2	Blood(in vivo)	0	1	SRR12302883
AB_BSA_251	pool3	Blood(in vivo)	0	1	SRR12302864
AB_BSA_258	pool1	Albumax	4	1	SRR12302853
AB_BSA_259	pool1	Albumax	4	2	SRR12302842
AB_BSA_256	pool1	Serum	4	1	SRR12302831
AB_BSA_257	pool1	Serum	4	2	SRR12302820
AB_BSA_254	pool2	Albumax	4	1	SRR12302809
AB_BSA_255	pool2	Albumax	4	2	SRR12302798
AB_BSA_252	pool2	Serum	4	1	SRR12302787
AB_BSA_253	pool2	Serum	4	2	SRR12302882
AB_BSA_266	pool3	Albumax	4	1	SRR12302873
AB_BSA_267	pool3	Albumax	4	2	SRR12302872
AB_BSA_264	pool3	Serum	4	1	SRR12302871
AB_BSA_265	pool3	Serum	4	2	SRR12302870
AB_BSA_274	pool1	Albumax	6	1	SRR12302869
AB_BSA_275	pool1	Albumax	6	2	SRR12302868
AB_BSA_272	pool1	Serum	6	1	SRR12302867
AB_BSA_273	pool1	Serum	6	2	SRR12302866
AB_BSA_270	pool2	Albumax	6	1	SRR12302865
AB_BSA_271	pool2	Albumax	6	2	SRR12302863
AB_BSA_268	pool2	Serum	6	1	SRR12302862
AB_BSA_269	pool2	Serum	6	2	SRR12302861
AB_BSA_282	pool3	Albumax	6	1	SRR12302860
AB_BSA_283	pool3	Albumax	6	2	SRR12302859
AB_BSA_280	pool3	Serum	6	1	SRR12302858
AB_BSA_281	pool3	Serum	6	2	SRR12302857
AB_BSA_306	pool1	Albumax	10	1	SRR12302856
AB_BSA_307	pool1	Albumax	10	2	SRR12302855
AB_BSA_304	pool1	Serum	10	1	SRR12302854
AB_BSA_305	pool1	Serum	10	2	SRR12302852
AB_BSA_302	pool2	Albumax	10	1	SRR12302851
AB_BSA_303	pool2	Albumax	10	2	SRR12302850
AB_BSA_300	pool2	Serum	10	1	SRR12302849
AB_BSA_301	pool2	Serum	10	2	SRR12302848
AB_BSA_314	pool3	Albumax	10	1	SRR12302847
AB_BSA_315	pool3	Albumax	10	2	SRR12302846
AB_BSA_312	pool3	Serum	10	1	SRR12302845
AB_BSA_313	pool3	Serum	10	2	SRR12302844
AB_BSA_338	pool1	Albumax	14	1	SRR12302843
AB_BSA_339	pool1	Albumax	14	2	SRR12302841
AB_BSA_336	pool1	Serum	14	1	SRR12302840
AB_BSA_337	pool1	Serum	14	2	SRR12302839
AB_BSA_334	pool2	Albumax	14	1	SRR12302838
AB_BSA_335	pool2	Albumax	14	2	SRR12302837
AB_BSA_332	pool2	Serum	14	1	SRR12302836
AB_BSA_333	pool2	Serum	14	2	SRR12302835
AB_BSA_346	pool3	Albumax	14	1	SRR12302834
AB_BSA_347	pool3	Albumax	14	2	SRR12302833
AB_BSA_344	pool3	Serum	14	1	SRR12302832
AB_BSA_345	pool3	Serum	14	2	SRR12302830
AB_BSA_370	pool1	Albumax	18	1	SRR12302829
AB_BSA_371	pool1	Albumax	18	2	SRR12302828
AB_BSA_368	pool1	Serum	18	1	SRR12302827
AB_BSA_369	pool1	Serum	18	2	SRR12302826
AB_BSA_366	pool2	Albumax	18	1	SRR12302825
AB_BSA_367	pool2	Albumax	18	2	SRR12302824
AB_BSA_364	pool2	Serum	18	1	SRR12302823
AB_BSA_365	pool2	Serum	18	2	SRR12302822
AB_BSA_378	pool3	Albumax	18	1	SRR12302821
AB_BSA_379	pool3	Albumax	18	2	SRR12302819
AB_BSA_376	pool3	Serum	18	1	SRR12302818
AB_BSA_377	pool3	Serum	18	2	SRR12302817
AB_BSA_402	pool1	Albumax	22	1	SRR12302816
AB_BSA_403	pool1	Albumax	22	2	SRR12302815
AB_BSA_400	pool1	Serum	22	1	SRR12302814
AB_BSA_401	pool1	Serum	22	2	SRR12302813
AB_BSA_398	pool2	Albumax	22	1	SRR12302812
AB_BSA_399	pool2	Albumax	22	2	SRR12302811
AB_BSA_396	pool2	Serum	22	1	SRR12302810
AB_BSA_397	pool2	Serum	22	2	SRR12302808
AB_BSA_410	pool3	Albumax	22	1	SRR12302807
AB_BSA_411	pool3	Albumax	22	2	SRR12302806
AB_BSA_408	pool3	Serum	22	1	SRR12302805
AB_BSA_409	pool3	Serum	22	2	SRR12302804
AB_BSA_434	pool1	Albumax	26	1	SRR12302803
AB_BSA_435	pool1	Albumax	26	2	SRR12302802
AB_BSA_432	pool1	Serum	26	1	SRR12302801
AB_BSA_433	pool1	Serum	26	2	SRR12302800
AB_BSA_430	pool2	Albumax	26	1	SRR12302799
AB_BSA_431	pool2	Albumax	26	2	SRR12302797
AB_BSA_428	pool2	Serum	26	1	SRR12302796
AB_BSA_429	pool2	Serum	26	2	SRR12302795
AB_BSA_442	pool3	Albumax	26	1	SRR12302794
AB_BSA_443	pool3	Albumax	26	2	SRR12302793
AB_BSA_440	pool3	Serum	26	1	SRR12302792
AB_BSA_441	pool3	Serum	26	2	SRR12302791
AB_BSA_466	pool1	Albumax	30	1	SRR12302790
